avggift,lastgife,pgift,ampergift,response
9.73,1.58E+01,0.18,15.19,1
15,20,0.09,15,0
7,8,0.19,8.25,0
7.93,15,0.2,15,0
4.68,4,0.42,4.29,0
14.6,18,0.15,17.67,0
12.5,15,0.1,12.5,0
18.27,24,0.17,24,0
7.5,15,0.21,10.5,0
12.67,16,0.2,15.2,0
21.13,30,0.19,33.33,0
7.36,10,0.24,11.67,1
8.29,20,0.12,15,0
5.29,7,0.24,5.33,0
8.54,11,0.19,10,1
16,20,0.14,20,0
8.38,15,0.14,15,0
8.04,14,0.61,10.33,1
18.33,50,0.16,28.33,0
25,25,0.06,25,0
18,22,0.11,22,0
14.7,12,0.16,12,0
12,25,0.22,25,0
9.14,15,0.3,15,0
12,25,0.16,16.5,0
10,10,0.17,11.25,0
9.14,12,0.22,11.33,1
20,20,0.07,20,0
5.5,3,0.25,6.22,0
12.04,17,0.33,15.8,0
10.83,10,0.09,12.5,0
10.8,20,0.15,20,0
11.43,17,0.17,17,0
8.83,11,0.15,10.25,0
13,15,0.12,15,1
9.83,12,0.17,11,1
10.67,10,0.14,10.67,0
14.31,15,0.2,15,0
8.36,10,0.42,10,0
28.67,50,0.12,40,0
25.23,35,0.22,31.6,0
10.5,15,0.15,15,0
15,15,0.07,0,0
12.36,15,0.19,12.86,1
23.64,25,0.18,25,0
17,15,0.21,17,0
9.52,10,0.31,12.86,0
9.05,12,0.32,10.5,0
7.35,11,0.26,9.67,1
8.6,15,0.12,15,0
26.67,20,0.1,35,0
15,25,0.1,25,0
19.15,26,0.18,26,0
20,20,0.1,20,0
4.8,6,0.28,5.8,1
14.5,20,0.17,20,0
10,10,0.17,10,0
10.71,15,0.23,15,0
8.89,10,0.35,10.25,0
8.86,11,0.47,11.27,1
8.27,15,0.17,15,0
9,15,0.31,13.75,0
20,20,0.09,20,0
12.5,15,0.08,15,0
10.14,20,0.14,20,0
15,20,0.09,20,0
12.29,10,0.2,10,0
24.75,27,0.08,27,0
8.25,9,0.15,8.25,0
16.17,25,0.11,22.5,0
20,20,0.07,20,0
25,25,0.07,25,0
20,20,0.06,20,0
10,15,0.1,10,0
25,25,0.08,25,0
13.4,15,0.19,13.75,0
8,20,0.14,8.75,0
22.5,25,0.07,22.5,0
15,20,0.09,15,0
7.23,10,0.26,9.2,0
10.33,15,0.11,11.5,0
23.29,50,0.28,21.75,0
6.06,10,0.3,8.25,0
8.62,13,0.24,10,1
20,20,0.07,20,0
12,15,0.11,15,0
8.39,13,0.55,10.83,0
12.2,20,0.16,12.2,0
7,10,0.15,9,0
7.22,25,0.24,25,0
20,20,0.07,20,0
15.29,25,0.12,25,0
20,20,0.07,20,0
4.37,5,0.28,5,0
8,10,0.21,9.2,0
15.6,24,0.11,24,0
25,25,0.06,25,0
15,15,0.08,0,0
6.07,12,0.37,8,0
23.33,30,0.14,27.5,0
10.38,25,0.12,25,0
6.92,10,0.32,9,1
13.67,25,0.12,17.5,0
15,15,0.07,15,1
14.38,20,0.13,15.5,0
2.61,5,0.51,3,0
20,20,0.07,20,0
20,30,0.09,20,0
15,20,0.08,15,1
30,30,0.12,30,0
100,100,0.06,100,0
21.55,32,0.16,28.5,0
12.86,16,0.13,16,0
14.44,25,0.14,25,0
9,3,0.15,15,0
10.74,15,0.32,13.33,1
40,55,0.05,55,0
13,16,0.07,16,1
9.92,15,0.19,15,0
15,15,0.08,15,0
12.33,15,0.12,12.33,0
6.54,5,0.3,10,1
8.44,20,0.35,15,0
25,25,0.07,25,1
4.65,5,0.28,4.75,0
8.75,12,0.18,12,0
3.53,10,0.4,10,0
10.56,10,0.25,12.75,0
24.27,35,0.15,35,0
7.4,12,0.18,12,0
5,5,0.38,5,0
6.47,7,0.24,7.71,1
8.5,15,0.14,13,0
12.5,15,0.11,12.5,0
11.15,13,0.19,11.67,0
4.22,6,0.55,5.77,1
15.2,20,0.1,20,1
10.25,15,0.12,12,0
10.44,16,0.18,14.67,1
20,5,0.19,23.25,0
7.42,10,0.25,10,1
20,20,0.08,20,0
15,20,0.08,15,0
20,20,0.07,20,0
21.33,10,0.11,20.5,1
12,20,0.11,12,0
3.43,4,0.29,3.6,0
27.55,33,0.16,29,0
5.22,10,0.22,5.86,0
9,10,0.18,10.5,0
10.32,13,0.35,13.5,0
12.5,15,0.09,12.5,0
10,15,0.1,12.5,0
11.2,16,0.15,13,0
23,23,0.07,23,1
9.85,13,0.28,13,0
15,15,0.1,15,1
7.92,10,0.18,7.5,0
11.83,11,0.17,12,0
5.31,15,0.24,9.5,0
5.68,5,0.5,5.82,0
8.17,6,0.4,7,0
10,15,0.12,11.67,0
9.43,15,0.16,13.67,0
13.33,16,0.11,13.33,1
10.67,20,0.12,17,0
13.4,23,0.1,20,0
14.67,16,0.1,18,0
10.92,10,0.29,16.25,0
10,15,0.1,12.5,0
6.25,10,0.17,6,0
9.07,10,0.23,10,0
19,20,0.19,17.5,0
12.8,16,0.17,12,0
11.79,13,0.24,13,0
13.67,20,0.19,15.8,0
14.69,20,0.19,20,0
12.5,15,0.15,12.5,0
12.4,10,0.14,12.5,0
8.25,12,0.16,11,0
14,3,0.11,14,0
15,15,0.07,15,1
9,13,0.28,13,0
11,15,0.12,13.67,0
9,16,0.1,16,0
20,20,0.06,20,0
15.43,25,0.18,16.6,0
15,15,0.09,15,0
8.5,9,0.36,9.67,0
12.75,20,0.15,20,0
15,15,0.07,15,0
15.36,20,0.16,20,0
7.1,10,0.26,8.17,0
20,20,0.06,20,0
14.44,20,0.24,19,0
7.25,25,0.42,12.5,1
6.19,8,0.38,6.78,0
5.44,25,0.3,15,0
16.67,15,0.12,16.67,1
20,20,0.07,20,0
8.25,20,0.18,19,0
6.95,10,0.36,13.5,0
9.67,15,0.14,9.67,1
15,20,0.1,15,0
7.44,12,0.16,11.33,1
4.95,5,0.31,4.33,0
15,20,0.16,18.75,0
20,20,0.11,20,0
25.8,100,0.15,50,1
7.71,12,0.21,12.33,1
6.33,10,0.26,8,0
8.44,10,0.24,8.6,0
20,20,0.09,20,0
15,15,0.08,15,1
10.33,15,0.14,12.5,0
12.5,5,0.14,12.5,0
26.25,25,0.12,30,1
3.73,3,0.3,4.17,1
20,20,0.07,20,0
5.24,10,0.33,6.8,0
25,25,0.07,25,0
18,26,0.08,18,0
23.61,25,0.27,25,0
10.45,15,0.18,12.25,0
4.92,5,0.23,5.25,1
6.05,10,0.45,12,0
5.43,7,0.36,6,0
13.33,10,0.12,13.33,0
5.57,10,0.21,9.67,0
11,21,0.22,21,0
12.67,18,0.15,15.67,0
13.75,23,0.26,24,0
15.38,10,0.22,13.83,0
8.36,16,0.15,16,0
15,20,0.09,15,0
15,15,0.07,0,0
30,30,0.07,30,0
17.2,25,0.15,27.5,0
25,25,0.07,25,0
7.4,10,0.15,8,0
7.29,5,0.22,7,1
23,40,0.15,36.67,0
24,25,0.08,27.5,0
14.8,20,0.12,17.33,1
20,25,0.11,22.5,0
12.6,17,0.19,17,0
14.92,20,0.3,20.2,0
4.35,5,0.42,5.33,0
10.06,12,0.22,12.33,0
6.4,10,0.21,12.5,0
9,15,0.11,12,0
8.88,15,0.25,10,0
9,15,0.12,15,1
10,15,0.09,15,0
3.15,5,0.33,3.8,1
8.93,10,0.19,10.67,0
10,10,0.23,10.67,0
9.43,15,0.18,10.8,0
10.89,15,0.26,13.67,0
12.2,10,0.17,15,1
11,12,0.17,13,0
17.14,25,0.16,22.5,1
20,20,0.07,20,1
9.5,4,0.11,15,1
14.17,20,0.13,14.5,0
7.71,10,0.26,11,0
22,24,0.1,22,0
7.7,10,0.17,10.5,0
10.8,12,0.2,11,0
25,25,0.07,25,0
25,25,0.07,25,1
12.57,17,0.15,17,1
11.75,20,0.11,17.5,0
16,27,0.07,16,0
5.45,10,0.41,8.67,0
20,20,0.08,20,0
25,25,0.05,25,1
9.77,12,0.19,11,0
17.67,20,0.12,17.67,1
8,35,0.41,20,0
12.5,20,0.09,12.5,1
9.5,15,0.15,11,0
14,20,0.11,14,0
9.47,15,0.29,13.5,0
7.31,10,0.29,8.67,0
13.25,13,0.17,22.33,1
7.6,15,0.12,15,1
24.17,15,0.09,50,0
14,15,0.12,14,0
10.75,17,0.16,15.67,0
20,20,0.07,20,0
15,15,0.08,15,0
9.82,10,0.15,10,0
6.5,15,0.23,10,0
7.83,15,0.18,15,0
21.43,30,0.12,30,0
5.83,5,0.16,7,0
11.75,25,0.13,25,0
9,18,0.19,17,0
13.21,20,0.24,20,1
8.36,10,0.22,10.5,0
11.73,27,0.31,27,0
7.86,15,0.14,15,1
12.57,15,0.17,15.25,0
16,17,0.09,16,0
17,15,0.1,15,0
9.6,10,0.18,10,1
13.21,20,0.18,15,1
36,50,0.13,35,0
8.29,10,0.32,10,1
18.33,10,0.08,17.5,1
15,15,0.08,15,0
12.5,25,0.1,18.5,0
25,25,0.09,25,0
5.45,5,0.39,5.45,0
12.67,16,0.14,16,0
6.72,12,0.33,10.4,1
14.08,12,0.22,12.4,0
9,10,0.11,12.5,1
9.38,15,0.14,14,1
13.43,12,0.22,13,0
16.55,25,0.18,25,0
12.57,15,0.17,15.67,0
10,15,0.1,10,1
3.31,5,0.29,4,0
7.55,10,0.26,10,0
14,20,0.12,11,0
16.8,20,0.17,19.5,0
5.43,8,0.23,9.5,1
9.42,10,0.3,10.67,0
15,15,0.08,15,0
12.38,15,0.19,12.25,0
13.67,30,0.29,27.5,0
5.67,5,0.17,7,0
15,15,0.08,15,0
10.5,12,0.15,10.5,1
8.4,5,0.26,11.8,0
33,50,0.12,50,1
7.16,0,0.43,11,0
11,15,0.1,11,0
17.33,20,0.07,18.5,0
23.75,25,0.1,23.33,0
12.33,15,0.17,14.2,0
5.12,6,0.38,6,0
15,15,0.08,15,0
11.69,15,0.18,15,0
11.5,20,0.13,11.5,0
9.62,10,0.26,10.14,0
7.33,20,0.19,20,0
7.83,15,0.12,11.67,0
4.4,5,0.3,5,1
5.47,10,0.24,8.67,0
15,20,0.09,20,0
4.75,5,0.52,5,0
9.89,15,0.21,12.67,0
25,25,0.07,25,0
15.12,15,0.25,21.8,0
12.55,20,0.55,18,0
49.77,60,0.11,55,0
9.24,10,0.35,10,0
18,19,0.12,18,0
10,14,0.54,14.38,0
5.75,10,0.17,5.75,0
13,16,0.08,16,0
21.67,20,0.08,0,0
11.22,15,0.16,14,1
31.67,25,0.08,50,0
11.25,25,0.11,25,0
8.57,10,0.46,9.33,0
8.11,15,0.22,10,1
5.41,6,0.21,8.67,1
11.58,15,0.18,15,0
9.86,25,0.2,20,0
10,15,0.11,10,0
5.7,5,0.26,5,0
16.48,30,0.27,27.5,1
15,15,0.07,15,0
5.2,7,0.2,5.2,0
47.06,50,0.19,50,0
15,15,0.08,15,0
6.83,10,0.18,10,1
9.33,15,0.12,13.5,0
6.25,5,0.17,5,0
15,15,0.08,15,0
10.5,15,0.12,12.33,0
17.5,0,0.06,25,0
11.5,3,0.13,20,0
6.36,10,0.21,8.25,0
12.5,15,0.11,10,0
7,15,0.14,15,1
10.5,15,0.09,10.5,0
7.1,8,0.38,7,0
23.23,10,0.24,18,0
10.5,25,0.12,22.5,0
7.5,10,0.18,8,0
19.43,50,0.11,50,0
17.5,15,0.11,17.5,0
8.69,10,0.22,9.21,1
15,15,0.06,15,0
13.33,20,0.12,13.33,0
12.56,21,0.13,18,1
20,20,0.07,20,0
12.5,15,0.09,12.5,0
7.8,25,0.12,25,0
7.53,11,0.26,11,1
7.86,10,0.21,10,0
8.17,13,0.22,12,1
15,15,0.06,15,0
6.83,10,0.23,9.6,1
5.32,5,0.57,6.6,0
3.71,6,0.24,3.33,0
4.5,5,0.26,5.43,0
13.47,25,0.18,22.5,0
6.53,12,0.22,11,0
5.95,10,0.51,8.5,1
13.2,15,0.15,15.25,0
11.17,15,0.24,11.2,0
7.57,14,0.3,14,0
12.29,12,0.28,13.33,0
16.31,25,0.18,19,0
6.09,5,0.33,6.33,0
20,20,0.08,20,0
11.39,15,0.23,12.83,0
10,25,0.15,13.33,0
20,20,0.09,20,0
16.2,20,0.14,22.5,0
4,7,0.27,4.17,0
9.78,20,0.21,13.33,0
15,20,0.08,15,0
9.29,13,0.19,12.5,0
29.44,25,0.18,25,0
8.53,10,0.27,11.67,0
10.71,15,0.14,14,0
3.55,6,0.27,4.29,0
9.56,15,0.23,0,0
6.81,10,0.24,9.25,0
25,35,0.1,30,0
30,50,0.08,50,0
20,20,0.08,20,0
5.58,6,0.24,6.5,0
5.38,7,0.28,7.6,0
6.18,5,0.52,7.11,0
8.5,7,0.17,8.5,0
8.12,10,0.46,10,0
7,5,0.18,6.67,0
5.73,12,0.29,10.67,0
14.75,15,0.15,15,0
23,23,0.07,23,0
6.57,10,0.34,9,0
6.6,11,0.14,7,0
17.5,25,0.07,25,0
5.33,7,0.22,5.25,0
12.33,15,0.11,12.33,1
19.17,25,0.1,22.5,1
10.71,15,0.11,15,0
15,15,0.07,15,0
20,25,0.12,15,1
9,10,0.18,9,0
14.2,20,0.12,18,0
13,6,0.13,20,0
18.33,25,0.06,25,0
23.64,15,0.15,32.75,0
14,17,0.1,14,0
10.33,15,0.09,15,0
18.39,26,0.24,22.75,0
5.55,7,0.28,6.14,1
14.09,20,0.2,15.5,0
9.56,10,0.27,9.75,1
10.2,15,0.1,15,0
5.91,10,0.23,11,0
14.62,25,0.13,22.5,0
4.41,10,0.23,8.33,0
6.14,10,0.38,8,0
18.57,15,0.18,16.25,0
10.75,20,0.12,20,0
8.78,18,0.15,18,0
25,25,0.07,25,0
21.25,25,0.12,25,0
7.5,10,0.24,8.2,1
10.83,11,0.16,11,1
10.33,15,0.1,15,0
15.6,15,0.09,18.5,0
15,20,0.1,15,1
12.5,15,0.17,12.5,0
4.58,10,0.19,8.67,0
10.27,13,0.2,13.2,0
12.5,10,0.13,12.5,0
10,15,0.1,10,1
21.25,30,0.11,26.67,0
21.71,13,0.11,30.43,0
11.42,17,0.31,15.5,0
25,25,0.07,25,0
12,20,0.12,12,0
20,20,0.07,20,0
5.07,5,0.38,5,1
15,15,0.07,15,0
9.89,16,0.16,15.33,1
12.5,5,0.11,12.5,0
12.5,25,0.11,19,0
22.5,25,0.07,22.5,0
5.13,10,0.23,7,1
15,15,0.08,15,0
18.08,30,0.16,30,1
11.42,0,0.21,15,0
11.08,25,0.19,20,0
15,15,0.08,15,0
12.33,17,0.12,12.33,0
9.5,10,0.23,11.8,0
10,15,0.09,15,1
19.55,5,0.31,21.83,0
11,17,0.09,11,1
17.83,25,0.2,25,1
11.45,16,0.19,14.5,0
9.08,5,0.17,8.75,0
13,14,0.31,14,0
9.55,10,0.18,11.67,0
7,12,0.23,11.5,1
5.88,6,0.24,6.5,0
5.1,5,0.27,5.4,0
26.75,42,0.15,32.25,0
12,17,0.11,16,0
15,15,0.06,15,0
7.36,11,0.37,9.33,1
7.6,12,0.18,10.67,0
6.56,10,0.3,8.67,0
9.5,15,0.16,15,0
16.8,25,0.15,22.5,0
9.08,10,0.19,11.67,0
17,23,0.15,23,0
9.33,12,0.22,11,0
5.81,5,0.38,5.45,1
4.65,3,0.35,4,1
5.06,10,0.23,10,0
20,20,0.08,20,0
11,15,0.15,12.5,0
20,25,0.07,20,0
14,25,0.19,25,0
16.29,33,0.42,26,0
9.62,15,0.24,14,1
7.56,11,0.19,9.6,0
20,20,0.1,20,0
13.07,15,0.36,15.83,0
10.33,11,0.15,13.67,0
9.38,20,0.24,20,1
15,20,0.08,17.5,0
10,17,0.13,16,0
12.5,15,0.1,12.5,0
7.66,15,0.21,15,0
26.71,25,0.14,57.5,0
15.67,17,0.07,17,0
14.22,25,0.14,25,0
8,10,0.23,10,0
11.17,10,0.27,13.75,0
25,25,0.07,25,1
9.85,15,0.19,11.67,0
6.36,10,0.22,8.6,0
24.75,25,0.13,25,1
6.8,20,0.28,8,1
8,9,0.22,9,0
15,20,0.1,10,0
10,15,0.1,10,0
15,15,0.08,15,0
20,20,0.07,20,0
28.75,0,0.15,35,0
4.17,6,0.21,4.4,0
4.4,10,0.3,6,1
15.5,20,0.11,0,0
10.2,12,0.16,10,0
4.82,5,0.48,5.22,0
10,18,0.16,16,1
7.81,12,0.27,12,1
11.86,17,0.12,16,0
8.42,10,0.28,10,1
7.83,11,0.19,10.33,1
5.87,10,0.26,11,1
6.05,10,0.23,10,0
23,25,0.14,25,0
15,15,0.08,15,0
4.32,5,0.32,4.17,0
9.96,10,0.21,11.67,0
6.26,8,0.26,8.6,1
10,15,0.12,15,0
8,10,0.17,8,0
23,23,0.07,23,0
4.47,5,0.45,5.36,0
5.13,5,0.24,5.29,1
15,15,0.08,15,0
35,35,0.06,35,0
13,17,0.13,16,0
11.29,15,0.13,14,0
7.62,5,0.3,7.5,0
8.2,5,0.19,12.67,0
17.75,18,0.14,17.67,0
15.57,25,0.13,17,0
15,15,0.09,15,1
15,15,0.08,15,0
7.45,5,0.39,7,0
20,20,0.08,20,1
10.67,12,0.19,10.4,1
13.5,15,0.14,13.5,0
7.47,14,0.23,14,0
4.4,5,0.23,4.6,0
9.8,5,0.13,5,0
13.67,20,0.15,13.33,0
6.8,19,0.23,19,0
6.11,11,0.33,8.5,0
6.5,15,0.24,10.33,1
9,10,0.17,15,1
15.54,20,0.31,20,1
10.6,14,0.15,14,1
10.33,16,0.1,13,0
15,15,0.07,15,0
6.56,12,0.31,6.11,0
6.35,10,0.24,10,1
9.23,15,0.23,9.38,1
16,17,0.08,16,0
6,10,0.17,6,0
6.64,7,0.24,9.33,1
7.71,17,0.18,16,1
13.4,30,0.21,27.5,0
8.67,10,0.14,12.67,0
8.88,20,0.25,20,1
4.87,5,0.27,5,0
11,20,0.08,20,0
7.57,5,0.17,8,0
5.33,10,0.27,10,0
20,25,0.12,20,0
8.33,10,0.16,8.33,0
6.75,9,0.27,8,0
9.08,12,0.48,10.5,0
20,20,0.07,20,0
10,15,0.13,10,0
6.59,10,0.25,10,0
12.86,10,0.28,5.67,0
8.43,9,0.17,9.4,0
17.5,25,0.06,25,0
13.8,10,0.19,12.5,1
7.67,10,0.19,8.25,0
15,15,0.08,15,0
6.65,10,0.29,0,0
9,12,0.16,10.75,0
9,10,0.16,10.5,0
11,15,0.12,15,0
5.34,10,0.52,7.27,1
5.6,15,0.17,12.5,1
18.11,20,0.16,23,0
12.5,20,0.1,12.5,1
7.55,11,0.27,11,1
12.89,21,0.16,19,0
12.86,20,0.23,20,0
5.19,5,0.42,5,0
15,15,0.12,15,0
75,50,0.17,75,0
11.2,14,0.19,12.8,0
20,30,0.09,20,0
2.57,5,0.38,4.25,0
20.17,50,0.11,37.5,0
12.8,19,0.15,19,1
11.86,21,0.14,21,0
13.75,15,0.12,15,0
11.12,16,0.27,16,1
20,20,0.11,20,0
9.91,12,0.16,11.75,0
25,25,0.06,25,1
7.33,10,0.29,10,0
14.48,20,0.28,17.5,0
20,20,0.1,0,0
4.62,3,0.3,7.5,0
10,15,0.11,13,0
11.54,20,0.22,20,0
4.87,5,0.28,5,1
14,16,0.08,16,0
9.55,15,0.24,12.5,1
4.66,4,0.33,5.67,0
5.86,5,0.2,6,0
9.5,18,0.12,13,0
7.18,12,0.18,12,0
8.88,15,0.2,12.33,0
10.92,10,0.37,10,0
5,5,0.26,5,0
9.44,20,0.14,20,1
11.72,17,0.55,18.5,0
13.82,25,0.16,24,0
11.8,10,0.13,14.33,0
12.5,20,0.1,12.5,0
9,15,0.11,15,0
15,15,0.08,15,0
5.14,5,0.3,5.33,0
17.86,30,0.15,27.5,1
10.67,14,0.3,12.5,0
21.82,25,0.28,25.83,0
25,25,0.06,25,0
4,5,0.29,4,0
13,17,0.16,15.5,0
10,15,0.14,10,1
19.17,50,0.14,40,0
6.17,25,0.31,7.75,0
11.7,16,0.14,10,0
20.25,25,0.14,20.25,1
17.5,25,0.11,10,0
13,20,0.13,20,0
15,20,0.09,15,1
27.83,25,0.36,38,0
21.74,20,0.08,25,1
8.9,10,0.26,10,0
5.23,8,0.26,6.83,0
8.67,10,0.26,10,0
8.27,10,0.19,7.5,0
8.91,20,0.25,9.2,1
8.25,15,0.13,12.5,0
18,18,0.08,18,0
12.29,35,0.24,32.5,0
24.08,15,0.17,45,1
19,10,0.1,28,0
13.38,20,0.17,17.5,1
6.75,10,0.19,7.33,0
7.88,11,0.3,10,0
15,15,0.08,15,0
10.29,20,0.19,18,0
15.27,20,0.23,19,0
5.14,3,0.19,8.67,1
10.8,10,0.08,15,0
3.83,4,0.38,4.3,0
9.54,15,0.2,13.67,0
10.4,15,0.18,9.25,0
10,13,0.14,10,1
9.8,10,0.15,11.33,0
5.14,7,0.24,5.5,0
10.78,20,0.16,18.5,0
7.72,10,0.2,6.9,0
26.33,41,0.15,37.67,1
17,20,0.16,20,1
5.38,10,0.23,10,0
13.5,25,0.16,17.5,0
9.52,13,0.32,11,1
17.27,30,0.21,27,0
8,11,0.17,8,0
21.67,25,0.1,21.67,0
8.93,13,0.19,13,0
11,17,0.1,14,0
15,15,0.09,15,0
5.53,10,0.26,6.75,0
19.79,25,0.23,25,0
5.16,5,0.26,4.58,0
12.83,20,0.2,19,0
7.27,5,0.25,7.2,0
6.5,6,0.19,7,0
10.5,25,0.2,21,0
15.51,36,0.53,28,0
5.53,10,0.22,10,0
8.67,11,0.26,11.25,0
112.5,150,0.06,116.67,0
10.38,15,0.25,19.5,0
15,15,0.08,15,0
33,27,0.07,27,0
9.86,10,0.21,13.5,1
83.25,130,0.07,130,0
13.6,50,0.2,13.5,0
9.2,15,0.15,10.5,0
12,16,0.1,12,0
8.41,10,0.27,11.2,0
19.73,30,0.21,27.75,0
16.29,15,0.15,18,0
10.56,17,0.19,17,1
13,11,0.26,12,1
8.33,10,0.16,10,0
15,15,0.08,15,0
16.67,25,0.13,25,0
14,15,0.11,12.5,0
4.69,5,0.34,5.75,0
8.67,12,0.17,10.5,0
30,30,0.06,30,0
7.25,9,0.19,7.25,1
10,5,0.18,14,0
15,20,0.1,15,0
8.33,10,0.19,9.4,0
9.17,15,0.32,15,1
19.65,25,0.24,35,0
15,15,0.07,15,0
18,23,0.14,22.5,0
7.83,10,0.19,10,1
18.33,20,0.16,20,1
17.5,10,0.11,25,0
10.5,17,0.12,16,0
8.08,8,0.25,10,1
4.29,5,0.38,4.11,0
8.5,10,0.17,8,0
11.12,25,0.15,25,0
5.55,10,0.27,6.67,1
11.5,17,0.1,15,0
27.5,50,0.11,50,0
11.42,40,0.3,32.5,0
7.25,10,0.13,8.67,1
11.19,10,0.27,14.4,1
5.58,7,0.27,7.2,0
13,16,0.08,13,0
8,5,0.14,10,0
20.4,27,0.09,24,1
7.17,5,0.17,7.67,0
8,15,0.14,9,0
5.4,10,0.26,7.33,0
5,4,0.36,5.86,0
10.54,14,0.24,13,0
3.19,5,0.33,3.25,0
14,25,0.19,25,0
6.56,14,0.17,12,0
17,20,0.12,20,0
6.33,5,0.41,4.5,0
13.89,20,0.15,15,0
15,15,0.07,15,0
14,15,0.12,20,0
26.43,35,0.18,34.2,0
6.56,7,0.31,7.4,1
17.5,20,0.07,17.5,1
13.67,25,0.18,22.5,0
9.38,13,0.21,13,0
28.75,50,0.16,50,1
9,10,0.17,9,0
7.6,6,0.24,9,1
19.65,21,0.18,20.25,0
14.5,20,0.14,18,0
11.5,10,0.09,15,1
15,15,0.13,15,1
15,15,0.08,15,0
15,25,0.07,25,0
12.5,15,0.11,12.5,0
6.4,8,0.22,6.4,0
5.64,5,0.22,6.33,0
11.96,16,0.32,15.33,0
13.88,25,0.13,25,0
25,25,0.13,25,0
3.83,10,0.3,5.5,0
13.57,21,0.13,16,0
9.38,12,0.15,10.67,1
10.5,12,0.18,10.5,0
9.8,20,0.13,14.5,0
12,10,0.32,10,1
6.67,10,0.18,6.67,1
15,15,0.2,15,0
6.83,10,0.21,8,0
8.83,20,0.12,20,0
20,20,0.07,20,1
9.5,12,0.17,12,0
7.88,8,0.26,11,0
32.92,50,0.16,50,1
2.4,5,0.46,2.43,0
9.2,19,0.16,18,0
8.13,9,0.29,7.33,0
8.4,15,0.11,15,1
5,6,0.24,5.2,0
15,20,0.11,15,0
17,24,0.07,24,0
9.07,15,0.23,15,0
4.79,5,0.24,5.5,1
12.2,10,0.19,12,0
7.56,10,0.21,8.8,0
9.69,10,0.21,14,1
6.82,12,0.18,10.5,0
6.83,5,0.17,7.2,0
9,15,0.14,15,0
8.93,10,0.19,10,0
5.98,10,0.32,12.67,0
14.44,25,0.21,21.67,0
15,20,0.1,15,0
20,20,0.08,20,0
5.23,4,0.6,6.4,0
20,20,0.07,20,0
17.5,20,0.09,17.5,0
6.06,10,0.24,9,0
11.72,5,0.5,12.6,1
6.83,9,0.17,8.25,0
10.25,10,0.15,9,0
11.75,20,0.11,16,0
7.82,3,0.2,8.83,1
22.56,36,0.19,40.67,1
8.31,11,0.22,11,0
9.8,25,0.2,13.6,0
17.86,25,0.15,21.25,1
12,15,0.29,12,0
9.25,16,0.18,13,0
10.25,20,0.12,15.5,0
18.33,25,0.09,22.5,0
8.2,15,0.14,11,0
25,25,0.07,25,0
8,10,0.15,8.75,0
28,28,0.06,28,0
8.8,10,0.12,10.67,0
27.5,30,0.11,27.5,1
16.67,20,0.12,15,0
11.18,14,0.26,12.43,0
12.14,10,0.23,11,0
20.5,20,0.1,15,1
6.71,10,0.27,9.25,0
10,15,0.12,12.5,0
5.5,7,0.24,5.5,1
10.93,12,0.25,12,0
8.45,15,0.19,15,0
4.27,7,0.22,5.33,1
12.57,19,0.12,19,0
8.54,15,0.18,14,0
9.71,13,0.21,11.2,1
15,15,0.07,15,0
9.88,14,0.19,12.4,1
9,13,0.17,10,0
17.5,20,0.11,17.5,0
9.93,5,0.23,15,0
3.77,5,0.33,4.29,0
15,15,0.14,15,0
8.09,11,0.17,10,0
13.67,15,0.12,15,0
20,20,0.08,20,0
12,20,0.12,20,0
22.5,25,0.1,22.5,0
9.56,14,0.25,14,0
111.11,150,0.1,150,0
11.12,17,0.1,17,0
15,20,0.09,15,0
13,17,0.18,16,1
21.74,10,0.16,25,0
16.58,5,0.16,22,0
6.5,16,0.19,12,0
9.56,12,0.48,9.8,1
10.53,15,0.26,12.43,0
10.5,10,0.16,10.5,0
15.29,25,0.19,24.5,0
20.44,20,0.12,20,0
8.33,10,0.16,10,0
25,25,0.07,0,0
12.33,15,0.12,12,0
13.06,15,0.2,19,1
6.5,5,0.15,8.33,0
18,18,0.09,18,0
11.38,25,0.21,30,0
12.88,18,0.15,19,0
16,25,0.11,25,0
23.33,30,0.12,30,0
5.06,5,0.44,5.64,0
6,10,0.28,10,0
28,28,0.07,28,0
6.6,7,0.22,6.75,0
6.55,8,0.24,7.62,0
8.38,10,0.17,9,0
4.5,5,0.41,5.1,0
13,16,0.09,13,0
8.56,12,0.26,12,0
12.5,20,0.15,12.5,0
15,15,0.08,15,0
10.5,25,0.2,11,0
15,15,0.07,15,0
12,19,0.15,17.5,0
14.5,15,0.4,15,1
8.52,12,0.35,11.6,0
25,25,0.06,25,0
9.69,13,0.29,11.71,0
15,15,0.08,15,0
17,27,0.13,27.33,0
12.15,6,0.23,14.88,1
11,12,0.17,11,0
8.5,10,0.25,9.83,0
10.17,25,0.18,27.5,0
5,8,0.24,6,0
4.37,7,0.59,6.14,0
7.17,10,0.2,9.75,1
17.71,20,0.15,20,1
14.22,15,0.15,15,1
21.88,29,0.11,29,0
17.75,25,0.15,25,0
11.28,10,0.36,11,0
10,10,0.15,10,0
30,40,0.07,30,0
4.88,5,0.28,4.86,1
14,20,0.1,17.5,1
6.62,11,0.16,8.25,0
11.67,20,0.1,11.67,1
9.88,15,0.29,13.5,0
20,20,0.08,20,0
11,10,0.2,12,0
11.6,5,0.3,15,0
22.5,25,0.08,22.5,0
10.96,10,0.21,10.5,1
